sample, response
0, 117010
1, 104904
2, 166091
3, 170191
4, 82762
5, 194404
6, 56577
7, 75149
8, 167101
9, 86338
10, 59280
11, 80598
12, 142040
13, 86062
14, 105969
15, 122984
16, 87221
17, 78964
18, 95832
19, 70702
20, 81993
21, 81916
22, 103001
23, 55322
24, 56488
25, 66370
26, 76220
27, 124511
28, 62144
29, 70631
30, 139114
31, 77868
32, 58758
33, 78580
34, 131983
35, 87838
36, 121012
37, 100254
38, 82295
39, 88318
40, 103820
41, 72325
42, 97334
43, 82574
44, 86191
45, 70995
46, 62096
47, 81782
48, 79283
49, 125755
50, 81942
51, 80809
52, 138554
53, 80376
54, 78746
55, 76301
56, 148326
57, 82228
58, 133232
59, 93792
60, 87146
61, 88315
62, 108500
63, 63145
64, 80309
65, 100175
66, 85355
67, 58928
68, 64545
69, 71313
70, 84947
71, 135527
72, 42731
73, 64024
74, 142826
75, 77698
76, 80704
77, 81620
78, 129105
79, 85024
80, 120432
81, 103413
82, 85746
83, 93643
84, 101029
85, 64713
86, 84207
87, 89405
88, 108587
89, 65122
90, 85021
91, 83082
92, 93606
93, 155987
94, 50521
95, 69796
96, 165263
97, 79011
98, 48172
99, 74732
100, 128814
101, 75242
102, 124662
103, 139342
104, 99927
105, 100941
106, 65566
107, 131918
108, 86780
109, 78169
110, 99716
111, 81228
112, 75236
113, 91367
114, 123991
115, 72171
116, 92338
117, 76319
118, 129203
119, 79383
120, 66835
121, 83427
122, 158173
123, 92676
124, 93690
125, 146919
126, 77207
127, 87780
128, 116488
129, 62231
130, 100611
131, 87870
132, 89543
133, 56731
134, 60692
135, 69610
136, 81427
137, 133993
138, 52235
139, 76784
140, 71422
141, 140336
142, 78823
143, 68149
144, 130255
145, 79229
146, 91581
147, 128455
148, 87027
149, 82380
150, 65989
151, 117325
152, 87777
153, 76304
154, 91928
155, 60252
156, 77309
157, 85962
158, 118364
159, 78819
160, 76014
161, 74864
162, 141073
163, 79437
164, 79744
165, 75575
166, 146980
167, 87038
168, 72755
169, 132268
170, 83220
171, 81237
172, 74803
173, 124128
174, 96514
175, 82056
176, 112445
177, 79392
178, 59133
179, 88740
180, 108997
181, 62330
182, 65926
183, 96409
184, 108039
185, 81477
186, 50936
187, 74074
188, 131706
189, 82731
190, 127352
191, 98246
192, 88364
193, 89151
194, 53047
195, 114223
196, 97736
197, 84725
198, 85149
199, 61600
200, 60017
201, 68616
202, 73996
203, 134307
204, 56806
205, 63362
206, 148312
207, 82298
208, 48417
209, 87339
210, 130214
211, 77923
212, 129337
213, 129330
214, 93503
215, 94143
216, 126695
217, 83425
218, 81049
219, 107140
220, 91437
221, 60204
222, 72040
223, 77558
224, 118530
225, 88711
226, 53511
227, 73825
228, 129098
229, 73289
230, 84616
231, 63280
232, 128115
233, 89919
234, 72554
235, 115155
236, 78808
237, 77793
238, 102032
239, 93094
240, 111439
241, 97418
242, 91930
243, 75657
244, 70773
245, 72195
246, 122869
247, 103178
248, 45658
249, 83320
250, 130820
251, 63034
252, 98743
253, 75796
254, 133789
255, 93352
256, 124068
257, 74915
258, 78236
259, 75644
260, 74233
261, 110750
262, 100755
263, 88822
264, 110894
265, 78394
266, 61210
267, 76720
268, 114343
269, 64018
270, 95249
271, 75830
272, 112368
273, 85587
274, 61449
275, 83865
276, 149362
277, 96517
278, 137199
279, 104320
280, 88698
281, 92015
282, 103403
283, 75643
284, 49908
285, 79614
286, 87618
287, 42484
288, 43977
289, 50942
290, 76099
291, 42904
292, 48430
293, 29232
294, 23785
295, 25233
296, 25254
297, 16186
