sample, response
0, 64316
1, 66338
2, 86620
3, 90842
4, 61274
5, 64490
6, 68348
7, 150095
8, 34531
9, 34311
10, 66171
11, 59555
12, 30340
13, 132838
14, 24031
15, 39418
16, 39237
17, 30146
18, 38774
19, 36133
20, 26101
21, 27815
22, 37788
23, 23707
24, 37889
25, 26587
26, 18410
27, 30551
28, 47105
29, 25468
30, 25961
31, 35625
32, 19996
33, 27929
34, 24878
35, 28628
36, 41005
37, 16936
38, 36858
39, 24411
40, 26828
41, 25535
42, 22997
43, 19803
44, 25762
45, 23381
46, 26338
47, 30155
48, 16785
49, 38161
50, 25900
51, 30446
52, 23941
53, 21845
54, 20044
55, 18323
56, 26925
57, 29311
58, 28134
59, 17409
60, 34465
61, 22428
62, 25164
63, 26561
64, 20937
65, 19945
66, 25985
67, 18114
68, 27510
69, 31428
70, 18497
71, 22843
72, 34008
73, 24958
74, 24386
75, 22657
76, 20692
77, 26747
78, 23023
79, 29766
80, 18893
81, 37095
82, 21936
83, 38583
84, 27022
85, 24164
86, 30018
87, 20210
88, 25889
89, 19642
90, 28632
91, 17813
92, 27907
93, 35539
94, 20817
95, 24353
96, 27719
97, 29110
98, 22035
99, 27578
100, 18352
101, 27005
102, 24572
103, 17303
104, 33901
105, 21990
106, 23163
107, 27849
108, 28720
109, 20387
110, 26353
111, 20084
112, 25055
113, 30862
114, 17360
115, 33649
116, 22397
117, 26949
118, 22434
119, 26452
120, 21472
121, 25639
122, 17352
123, 27120
124, 23936
125, 17885
126, 22444
127, 32219
128, 25464
129, 25498
130, 22109
131, 21084
132, 26044
133, 23473
134, 27939
135, 31403
136, 17265
137, 34224
138, 21729
139, 23371
140, 27049
141, 30577
142, 20924
143, 26522
144, 17357
145, 26438
146, 22959
147, 17054
148, 21888
149, 33129
150, 24988
151, 27200
152, 21463
153, 21375
154, 26481
155, 22749
156, 27215
157, 16916
158, 32430
159, 33793
160, 21979
161, 24165
162, 25803
163, 29835
164, 20435
165, 26930
166, 23436
167, 25579
168, 16740
169, 33121
170, 33703
171, 22039
172, 23527
173, 29931
174, 27283
175, 19782
176, 25440
177, 22597
178, 25353
179, 16748
180, 33178
181, 37905
182, 21761
183, 22821
184, 24375
185, 30133
186, 21653
187, 26632
188, 18079
189, 24042
190, 31588
191, 17303
192, 21352
193, 32976
194, 26956
195, 21856
196, 24984
197, 21783
198, 25743
199, 19838
200, 30333
201, 27563
202, 17797
203, 35795
204, 22254
205, 27214
206, 29408
207, 32241
208, 19821
209, 26270
210, 22051
211, 27215
212, 25769
213, 17857
214, 34761
215, 22997
216, 21567
217, 24357
218, 28952
219, 18808
220, 24696
221, 21083
222, 26344
223, 26244
224, 16827
225, 36651
226, 22327
227, 25834
228, 24038
229, 20960
230, 18855
231, 16374
232, 26002
233, 25812
234, 22371
235, 16981
236, 21899
237, 32430
238, 25945
239, 24302
240, 20951
241, 19818
242, 16342
243, 25357
244, 26450
245, 22632
246, 17806
247, 23314
248, 32626
249, 25902
250, 24982
251, 20926
252, 21165
253, 25669
254, 19890
255, 24374
256, 28990
257, 16800
258, 21480
259, 32624
260, 27684
261, 26534
262, 23037
263, 20975
264, 26244
265, 19741
266, 24348
267, 28210
268, 16905
269, 33120
270, 21428
271, 23526
272, 26656
273, 31032
274, 20536
275, 26429
276, 18264
277, 26626
278, 24677
279, 17553
280, 33310
281, 21072
282, 24815
283, 26324
284, 21459
285, 20758
286, 26547
287, 19389
288, 27364
289, 27138
290, 17754
291, 21325
292, 33024
293, 24813
294, 23433
295, 20811
296, 19756
297, 24769
298, 24850
299, 15799
