"사용월","호선명","지하철역","유임승차인원","무임승차인원","유임하차인원","무임하차인원","작업일자"
"201707","2호선","강남","3132653","163695","3161388","146607","20170803"
"201706","2호선","강남","2823935","171412","2864000","153222","20170703"
"201705","2호선","강남","2787209","167107","2831453","150178","20170603"
"201704","2호선","강남","2816606","167083","2851282","149741","20170503"
"201703","2호선","강남","3023978","177915","3055014","159714","20170403"
"201702","2호선","강남","2974352","160425","3003634","144677","20170308"
"201701","2호선","강남","2974554","158179","2996605","139911","20170208"
"201612","2호선","강남","2990970","176270","3050493","158712","20170108"
"201611","2호선","강남","2790176","166389","2829635","148175","20161208"
"201610","2호선","강남","2744849","164766","2798904","147342","20161108"
"201610","2호선","강남","2744849","164766","2798904","147342","20161108"
"201609","2호선","강남","2563708","148230","2620132","132675","20161008"
"201609","2호선","강남","2563708","148230","2620132","132675","20161008"
"201608","2호선","강남","3015965","154452","3053228","137739","20160908"
"201607","2호선","강남","3221329","162517","3265282","145604","20160808"
"201606","2호선","강남","2733657","163571","2787149","146308","20160708"
"201605","2호선","강남","2778369","163489","2835923","146996","20160608"
"201604","2호선","강남","2746287","158908","2812977","143259","20160508"
"201603","2호선","강남","2969911","171167","3018030","154223","20160408"
"201602","2호선","강남","2723001","140426","2772119","127187","20160308"
"201601","2호선","강남","3104249","157889","3166743","142936","20160208"
