"사용월","호선명","지하철역","유임승차인원","무임승차인원","유임하차인원","무임하차인원","작업일자"
"201707","2호선","신도림","1627372","203130","1628522","194798","20170803"
"201707","2호선","신림","1889520","234868","1833721","240985","20170803"
"201707","2호선","신설동","83882","32718","81015","33977","20170803"
"201707","2호선","신정네거리","225657","64218","231748","65679","20170803"
"201707","2호선","신촌","1399536","139962","1426731","138310","20170803"
"201707","2호선","아현","242025","63781","226834","63512","20170803"
"201707","2호선","양천구청","158041","43455","167375","44330","20170803"
"201707","2호선","역삼","1239582","151077","1386723","154470","20170803"
"201707","2호선","영등포구청","539566","107831","550405","106383","20170803"
"201707","2호선","왕십리(성동구청)","530383","56932","436225","47947","20170803"
"201707","2호선","용답","61712","16378","60236","15787","20170803"
"201707","2호선","용두(동대문구청)","47210","22296","48310","23367","20170803"
"201707","2호선","을지로3가","516019","85704","518379","83958","20170803"
"201707","2호선","을지로4가","273762","90274","267695","85109","20170803"
"201707","2호선","을지로입구","1299176","112377","1305600","104419","20170803"
"201707","2호선","이대","483767","71729","509149","71754","20170803"
"201707","2호선","잠실(송파구청)","2451032","220941","2292699","207011","20170803"
"201707","2호선","잠실나루","434740","85642","413771","86338","20170803"
"201707","2호선","잠실새내","688795","115336","697390","113243","20170803"
"201707","2호선","종합운동장","442483","55761","490137","60112","20170803"
"201707","2호선","충정로(경기대입구)","290257","50762","310551","51083","20170803"
"201707","2호선","한양대","252192","14443","280999","15544","20170803"
"201707","2호선","합정","924008","70080","993747","70580","20170803"
"201707","2호선","강변(동서울터미널)","1290894","136962","1293588","134951","20170803"
"201707","3호선","가락시장","230213","68115","222508","66532","20170803"
"201707","3호선","홍제","429598","146130","396083","145266","20170803"
"201707","3호선","경찰병원","185690","38177","183552","38877","20170803"
"201707","3호선","고속터미널","1679332","186739","1592524","177770","20170803"
"201707","3호선","교대(법원.검찰청)","369843","66194","252813","43049","20170803"
"201707","3호선","구파발","514512","99967","466840","92770","20170803"
"201707","3호선","금호","204478","54957","186338","54417","20170803"
"201707","3호선","남부터미널(예술의전당)","919112","121753","955300","122257","20170803"
"201707","3호선","녹번","318556","64542","264958","62806","20170803"
"201707","3호선","대청","254913","54535","223687","52010","20170803"
"201707","3호선","대치","319541","59720","303366","56925","20170803"
"201707","3호선","도곡","172156","28468","165959","24033","20170803"
"201707","3호선","독립문","163499","69717","165415","69965","20170803"
"201707","3호선","동대입구","268561","35422","296201","36872","20170803"
"201707","3호선","매봉","283119","54505","276732","49885","20170803"
"201707","3호선","무악재","92394","32840","89990","35319","20170803"
"201707","3호선","불광","427816","150886","464139","166330","20170803"
"201707","3호선","수서","427990","93970","426422","91005","20170803"
"201707","3호선","신사","863023","67532","936403","64554","20170803"
"201707","1호선","동대문","322260","132485","381943","139709","20170803"
"201707","1호선","동묘앞","156934","130134","170694","132871","20170803"
"201707","1호선","서울역","1343644","197668","1302475","192521","20170803"
"201707","1호선","시청","610956","89441","622716","86769","20170803"
"201707","1호선","청량리(서울시립대입구)","476943","327285","495862","332554","20170803"
"201707","1호선","제기동","278268","292021","271638","308591","20170803"
"201707","1호선","종각","1213479","149545","1166614","141028","20170803"
"201707","1호선","종로3가","711168","346276","679184","321599","20170803"
"201707","1호선","종로5가","490397","261821","507166","251811","20170803"
"201707","1호선","신설동","339715","118029","332075","112667","20170803"
"201707","2호선","강남","3132653","163695","3161388","146607","20170803"
"201707","2호선","홍대입구","2240520","111382","2406737","107716","20170803"
"201707","2호선","건대입구","1219058","91808","1350394","94952","20170803"
"201707","2호선","교대(법원.검찰청)","950848","157706","1067467","174303","20170803"
"201707","2호선","구로디지털단지","1726826","166332","1726552","168881","20170803"
"201707","4호선","동작(현충원)","53230","19364","56466","19410","20170803"
"201707","4호선","명동","1037573","67931","1116891","70027","20170803"
"201707","4호선","미아(서울사이버대학)","431138","129230","382347","130107","20170803"
"201707","4호선","미아사거리","800367","190279","762069","191935","20170803"
"201707","4호선","사당","780479","89817","633968","88663","20170803"
"201707","4호선","삼각지","120697","32484","150435","34200","20170803"
"201707","4호선","상계","535316","117144","470427","115696","20170803"
"201707","4호선","서울역","324137","38286","568979","47014","20170803"
"201707","4호선","성신여대입구(돈암)","666891","104242","619155","99788","20170803"
"201707","4호선","수유(강북구청)","1087638","252449","1058007","253427","20170803"
"201707","4호선","숙대입구(갈월)","410248","57881","405654","54233","20170803"
"201707","4호선","신용산","349639","46956","371139","47093","20170803"
"201707","4호선","쌍문","849207","168036","724593","162093","20170803"
"201707","4호선","이촌(국립중앙박물관)","246725","45302","275629","48597","20170803"
"201707","4호선","창동","706116","184923","750478","194982","20170803"
"201707","4호선","총신대입구(이수)","512135","137694","579225","147004","20170803"
"201707","4호선","충무로","786282","124140","823840","125387","20170803"
"201707","4호선","한성대입구(삼선교)","383343","76541","359016","75408","20170803"
"201707","4호선","혜화","1104006","129033","1165314","130261","20170803"
"201707","4호선","남태령","64529","9159","26728","7492","20170803"
"201707","5호선","강동","463135","92392","395530","84505","20170803"
"201707","5호선","화곡","747353","137768","680996","133093","20170803"
"201707","5호선","개화산","142819","35016","133238","33368","20170803"
"201707","5호선","거여","152794","49708","143289","48110","20170803"
"201707","5호선","고덕","229921","61083","223181","59377","20170803"
"201707","5호선","공덕","349728","44258","376210","40883","20170803"
"201707","5호선","광나루(장신대)","348770","60847","308792","58404","20170803"
"201707","5호선","광화문(세종문화회관)","985589","76556","1033726","74425","20170803"
"201707","5호선","군자(능동)","292554","37382","367011","44922","20170803"
"201707","5호선","굽은다리(강동구민회관앞)","238399","62368","225702","57730","20170803"
"201707","5호선","길동","170326","59608","176658","61162","20170803"
"201707","5호선","김포공항","214382","31146","184107","30532","20170803"
"201707","5호선","까치산","748256","152427","698755","154328","20170803"
"201707","5호선","답십리","402313","82901","361198","80719","20170803"
"201707","5호선","동대문역사문화공원","74510","10980","89631","11569","20170803"
"201707","5호선","둔촌동","294503","76244","289406","78843","20170803"
"201707","5호선","마곡","157431","23348","136092","22059","20170803"
"201707","5호선","마장","136700","42765","126365","41819","20170803"
"201707","5호선","마천","106707","46967","104111","49699","20170803"
"201707","5호선","마포","351527","62419","363583","62425","20170803"
"201707","5호선","명일","183094","60306","185790","60992","20170803"
"201707","5호선","목동","466651","82255","494126","83948","20170803"
"201707","5호선","발산","347527","63051","349860","59254","20170803"
"201707","2호선","구의(광진구청)","597620","102852","571370","104296","20170803"
"201707","2호선","낙성대","809521","109164","766042","110204","20170803"
"201707","2호선","당산","555439","65071","633397","70462","20170803"
"201707","2호선","대림(구로구청)","799453","112448","824418","116394","20170803"
"201707","2호선","도림천","27750","6313","30522","7038","20170803"
"201707","2호선","동대문역사문화공원","509108","59033","590915","63673","20170803"
"201707","2호선","뚝섬","414424","62803","445904","63108","20170803"
"201707","2호선","문래","486950","82336","497266","81798","20170803"
"201707","2호선","방배","486203","78865","493754","78612","20170803"
"201707","2호선","봉천","567814","149090","506596","149545","20170803"
"201707","2호선","사당","1036285","187164","1247050","180190","20170803"
"201707","2호선","삼성(무역센터)","1688977","123549","1746546","116470","20170803"
"201707","2호선","상왕십리","332129","65874","313041","67041","20170803"
"201707","2호선","서울대입구(관악구청)","1398282","209899","1362760","202622","20170803"
"201707","2호선","서초","594889","79630","598170","79664","20170803"
"201707","2호선","선릉","1446396","197817","1236345","169980","20170803"
"201707","2호선","성수","690943","97188","760844","99123","20170803"
"201707","2호선","시청","654466","56065","630873","51625","20170803"
"201707","2호선","신답","30558","9989","34886","10942","20170803"
"201707","2호선","신당","343757","104543","359243","106694","20170803"
"201707","2호선","신대방","731586","130249","681210","132255","20170803"
"201707","5호선","장한평","456465","95921","454433","97579","20170803"
"201707","5호선","종로3가","319986","122234","305399","126163","20170803"
"201707","5호선","천호(풍납토성)","476740","147452","494213","155622","20170803"
"201707","5호선","청구","95789","26822","93700","20933","20170803"
"201707","5호선","충정로(경기대입구)","111901","18107","112107","18681","20170803"
"201707","5호선","행당","204288","46766","177126","42610","20170803"
"201707","5호선","개롱","161800","44135","160506","45381","20170803"
"201707","6호선","고려대(종암)","235125","32548","222239","33316","20170803"
"201707","6호선","효창공원앞","172191","39999","156195","37867","20170803"
"201707","6호선","광흥창(서강)","232056","55577","225657","54466","20170803"
"201707","6호선","구산","193922","56157","130200","57276","20170803"
"201707","6호선","녹사평(용산구청)","199411","20127","210352","19700","20170803"
"201707","6호선","대흥(서강대앞)","197932","44236","210033","44445","20170803"
"201707","6호선","독바위","68668","20639","69542","24501","20170803"
"201707","6호선","돌곶이","219690","62083","196681","61619","20170803"
"201707","6호선","동묘앞","200699","62677","202949","57513","20170803"
"201707","6호선","디지털미디어시티","355208","56083","401633","56453","20170803"
"201707","6호선","마포구청","327656","78193","287136","72566","20170803"
"201707","6호선","망원","327465","81076","357863","85352","20170803"
"201707","6호선","버티고개","57217","14108","51788","16166","20170803"
"201707","6호선","보문","216298","36678","191451","34831","20170803"
"201707","6호선","봉화산(서울의료원)","226576","51391","207710","50308","20170803"
"201707","6호선","불광","133354","43239","133871","34398","20170803"
"201707","6호선","삼각지","194790","19888","155456","16926","20170803"
"201707","6호선","상수","305152","22838","362147","23597","20170803"
"201707","6호선","상월곡(한국과학기술연구원)","133669","37589","117472","36938","20170803"
"201707","6호선","새절(신사)","306259","84920","283689","86692","20170803"
"201707","6호선","석계","310049","73573","312642","75242","20170803"
"201707","6호선","신당","209050","39282","218846","38383","20170803"
"201707","6호선","안암(고대병원앞)","339093","30835","343045","29652","20170803"
"201707","6호선","약수","85392","23417","85520","20787","20170803"
"201707","6호선","역촌","84116","35802","103564","35046","20170803"
"201707","6호선","연신내","18","1","0","0","20170803"
"201707","6호선","월곡(동덕여대)","295676","69590","279266","69815","20170803"
"201707","6호선","월드컵경기장(성산)","167633","50502","183885","51126","20170803"
"201707","6호선","응암","424975","108384","412662","108313","20170803"
"201707","6호선","이태원","472828","33687","539942","35819","20170803"
"201707","6호선","증산(명지대앞)","247388","68660","230188","67926","20170803"
"201707","6호선","창신","87788","17433","68049","16600","20170803"
"201707","6호선","청구","96124","18716","100648","23021","20170803"
"201707","6호선","태릉입구","127270","26003","147689","27026","20170803"
"201707","6호선","한강진","188725","13703","230579","13262","20170803"
"201707","6호선","합정","415274","39116","371895","35773","20170803"
"201707","3호선","안국","621266","125658","665115","134181","20170803"
"201707","3호선","압구정","896485","140258","980137","138150","20170803"
"201707","3호선","약수","344190","83225","331856","81066","20170803"
"201707","3호선","양재(서초구청)","1025021","160384","1118374","161775","20170803"
"201707","3호선","연신내","1019676","258753","946837","250788","20170803"
"201707","3호선","오금","178535","26425","158619","24699","20170803"
"201707","3호선","옥수","245082","59058","260294","60182","20170803"
"201707","3호선","을지로3가","226023","59260","253510","58039","20170803"
"201707","3호선","일원","204452","54188","211731","56773","20170803"
"201707","3호선","잠원","147876","33990","141988","32980","20170803"
